PowerColor AMD Radeon RX 550 Single-fan 4GB GDDR5 PCIe 3.0,150
ASRock Radeon RX 5500 XT Challenger Overclocked Dual-Fan 8GB GDDR6 PCIe 4.0,200
Sapphire Technology Radeon RX 5600 XT Pulze Overclocked Dual-Fan 6GB GDDR6 PCIe 4.0,310
Sapphire Technology AMD Radeon RX 6700 XT Dual-Fan 12GB GDDR6 PCIe 4.0,480
